end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
72,W 52 St & 11 Ave,40.76727216,-73.99392888,1077.723434,3803286,3529,2019,subs
79,Franklin St & W Broadway,40.71911552,-74.00666661,747.9375746,1881063,2515,2019,subs
82,St James Pl & Pearl St,40.71117416,-74.00016545,920.1633428,968932,1053,2019,subs
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,692.4130284,999152,1443,2019,subs
119,Park Ave & St Edwards St,40.69608941,-73.97803415,1055.630695,440198,417,2019,subs
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,837.262766,787027,940,2019,subs
127,Barrow St & Hudson St,40.73172428,-74.00674436,772.6885502,3954620,5118,2019,subs
128,MacDougal St & Prince St,40.72710258,-74.00297088,763.3479021,4366350,5720,2019,subs
143,Clinton St & Joralemon St,40.69239502,-73.99337909,604.1176205,1340537,2219,2019,subs
144,Nassau St & Navy St,40.69839895,-73.98068914,1003.427481,920143,917,2019,subs
146,Hudson St & Reade St,40.71625008,-74.0091059,750.2143359,2135110,2846,2019,subs
150,E 2 St & Avenue C,40.7208736,-73.98085795,742.5920162,2195102,2956,2019,subs
151,Cleveland Pl & Spring St,40.72210379,-73.99724901,771.9248708,5229791,6775,2019,subs
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,804.3833049,1416519,1761,2019,subs
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,706.0483103,3112967,4409,2019,subs
164,E 47 St & 2 Ave,40.75323098,-73.97032517,818.0230179,2558776,3128,2019,subs
167,E 39 St & 3 Ave,40.7489006,-73.97604882,772.1893452,3478713,4505,2019,subs
168,W 18 St & 6 Ave,40.73971301,-73.99456405,669.7993739,4707350,7028,2019,subs
173,Broadway & W 49 St,40.76068327,-73.98452729,866.5662764,4589335,5296,2019,subs
174,E 25 St & 1 Ave,40.7381765,-73.97738662,682.8898559,2275389,3332,2019,subs
195,Liberty St & Broadway,40.70905623,-74.01043382,920.3664185,3338169,3627,2019,subs
212,W 16 St & The High Line,40.74334935,-74.00681753,873.3608762,4027067,4611,2019,subs
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,819.5418251,431079,526,2019,subs
217,Old Fulton St,40.70277159,-73.99383605,968.965361,2993134,3089,2019,subs
223,W 13 St & 7 Ave,40.73781509,-73.99994661,617.0828965,3178594,5151,2019,subs
224,Spruce St & Nassau St,40.71146364,-74.00552427,883.6777583,1513740,1713,2019,subs
228,E 48 St & 3 Ave,40.7546011,-73.97187886,734.2014388,1734918,2363,2019,subs
229,Great Jones St,40.72743423,-73.99379025,683.9664926,4715265,6894,2019,subs
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,724.6361561,3174631,4381,2019,subs
237,E 11 St & 2 Ave,40.73047309,-73.98672378,729.71775,2918871,4000,2019,subs
238,Bank St & Washington St,40.7361967,-74.00859207,837.8630229,2483426,2964,2019,subs
239,Willoughby St & Fleet St,40.69196566,-73.9813018,559.4479616,1166449,2085,2019,subs
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,843.5457604,1253509,1486,2019,subs
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,748.1042373,882763,1180,2019,subs
243,Fulton St & Rockwell Pl,40.68841,-73.979458,678.3643815,910365,1342,2019,subs
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,766.9807428,1115190,1454,2019,subs
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,734.9571006,496831,676,2019,subs
247,Perry St & Bleecker St,40.73535398,-74.00483091,747.003005,2237274,2995,2019,subs
248,Laight St & Hudson St,40.72185379,-74.00771779,812.4090074,883901,1088,2019,subs
249,Harrison St & Hudson St,40.71870987,-74.0090009,752.9906048,1282343,1703,2019,subs
251,Mott St & Prince St,40.72317958,-73.99480012,807.1618597,3750074,4646,2019,subs
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,684.9889618,2296083,3352,2019,subs
254,W 11 St & 6 Ave,40.73532427,-73.99800419,611.5042315,2239940,3663,2019,subs
257,Lispenard St & Broadway,40.71939226,-74.00247214,748.5124717,2970846,3969,2019,subs
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,805.1405204,1082914,1345,2019,subs
259,South St & Whitehall St,40.70122128,-74.01234218,1397.621363,3362677,2406,2019,subs
260,Broad St & Bridge St,40.70365182,-74.01167797,898.9860918,1292742,1438,2019,subs
261,Johnson St & Gold St,40.69474881,-73.98362464,721.4751244,870099,1206,2019,subs
262,Washington Park,40.6917823,-73.9737299,735.3784314,750086,1020,2019,subs
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,903.4462525,1832189,2028,2019,subs
265,Stanton St & Chrystie St,40.72229346,-73.99147535,886.9192327,3513974,3962,2019,subs
266,Avenue D & E 8 St,40.72368361,-73.97574813,951.2711402,1743680,1833,2019,subs
267,Broadway & W 36 St,40.75097711,-73.98765428,669.7517007,196907,294,2019,subs
268,Howard St & Centre St,40.71910537,-73.99973337,809.4244139,3003774,3711,2019,subs
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,615.8138663,985918,1601,2019,subs
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,673.9385628,1228590,1823,2019,subs
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,699.8794926,662086,946,2019,subs
276,Duane St & Greenwich St,40.71748752,-74.0104554,794.8323669,1507797,1897,2019,subs
278,Concord St & Bridge St,40.69766564,-73.98476437,925.5,596022,644,2019,subs
279,Peck Slip & Front St,40.707873,-74.00167,929.909699,2502387,2691,2019,subs
280,E 10 St & 5 Ave,40.73331967,-73.99510132,655.3413231,2050563,3129,2019,subs
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,1123.036688,6428262,5724,2019,subs
282,Kent Ave & S 11 St,40.70764494,-73.96841526,904.3481364,1140383,1261,2019,subs
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,662.0936475,3231017,4880,2019,subs
285,Broadway & E 14 St,40.73454567,-73.99074142,632.6829941,7336592,11596,2019,subs
289,Monroe St & Classon Ave,40.6845683,-73.95881081,702.3009009,389777,555,2019,subs
291,Madison St & Montgomery St,40.713126,-73.984844,1012.210877,1824004,1802,2019,subs
293,Lafayette St & E 8 St,40.73020661,-73.99102628,672.9663708,5383058,7999,2019,subs
295,Pike St & E Broadway,40.71406667,-73.99293911,710.1524118,1751946,2467,2019,subs
296,Division St & Bowery,40.71413089,-73.9970468,777.5852982,2242556,2884,2019,subs
297,E 15 St & 3 Ave,40.734232,-73.986923,671.5678776,3512300,5230,2019,subs
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,748.3128062,1069339,1429,2019,subs
301,E 2 St & Avenue B,40.72217444,-73.98368779,801.4392022,3737111,4663,2019,subs
302,Avenue D & E 3 St,40.72082834,-73.97793172,809.4782418,1841563,2275,2019,subs
303,Mercer St & Spring St,40.72362738,-73.99949601,842.902439,3421341,4059,2019,subs
304,Broadway & Battery Pl,40.70463334,-74.01361706,1094.842207,5120577,4677,2019,subs
305,E 58 St & 3 Ave,40.76095756,-73.96724467,795.212129,3081447,3875,2019,subs
307,Canal St & Rutgers St,40.71427487,-73.98990025,1106.442539,5805504,5247,2019,subs
308,St James Pl & Oliver St,40.71307916,-73.99851193,711.4620865,1398023,1965,2019,subs
309,Murray St & West St,40.7149787,-74.013012,896.4408636,2865025,3196,2019,subs
310,State St & Smith St,40.68926942,-73.98912867,750.1878419,1234059,1645,2019,subs
311,Norfolk St & Broome St,40.7172274,-73.98802084,705.261615,2550226,3616,2019,subs
312,Allen St & Stanton St,40.722055,-73.989111,853.3018902,4785317,5608,2019,subs
313,Washington Ave & Park Ave,40.69610226,-73.96751037,842.7864662,1120906,1330,2019,subs
314,Cadman Plaza West & Montague St,40.69383,-73.990539,709.7545455,1249168,1760,2019,subs
315,South St & Gouverneur Ln,40.70355377,-74.00670227,1080.206263,4760469,4407,2019,subs
316,Fulton St & William St,40.70955958,-74.00653609,792.9075314,1895049,2390,2019,subs
317,E 6 St & Avenue B,40.72453734,-73.98185424,775.7845368,3341304,4307,2019,subs
319,Fulton St & Broadway,40.711066,-74.009447,838.335609,3069985,3662,2019,subs
320,Leonard St & Church St,40.717571,-74.005549,733.7768753,1535795,2093,2019,subs
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,700.452986,1102513,1574,2019,subs
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,1590.315391,3575029,2248,2019,subs
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,678.8713259,2078704,3062,2019,subs
325,E 19 St & 3 Ave,40.73624527,-73.98473765,648.7130682,2283470,3520,2019,subs
326,E 11 St & 1 Ave,40.72953837,-73.98426726,717.7060347,3603602,5021,2019,subs
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,909.3047015,5589496,6147,2019,subs
328,Watts St & Greenwich St,40.72405549,-74.00965965,786.4115007,2803557,3565,2019,subs
